key_resp_14.rt,alt_image1_location,__experimentName,key_resp_21.rt,experiment_start_resp.rt,key_resp_18.keys,demo_info.thisRepN,key_resp_4.keys,key_resp_11.rt,textbox_7.text,key_resp_14.keys,test_loop.ran,date,key_resp_26.rt,expName,pretraining_plus_test.thisTrialN,condition,consent_resp.keys,key_resp_5.rt,pretraining_loop.ran,prod_label,production_block.ran,key_resp_13.rt,pretraining_loop.thisN,image_size,key_resp_3.rt,test_loop.thisTrialN,key_resp_4.rt,consent_resp.rt,forced_choice_block.thisIndex,textbox_3.text,key_resp_26.keys,prod_condition,image1,label2,key_resp_15.rt,textbox_2.text,alt_image1,filepath,key_resp_17.rt,training_block.thisIndex,pretraining,training_block.thisN,label1,key_resp_15.keys,training_block.thisRepN,demo_info.thisTrialN,production_block.thisRepN,textbox_4.text,key_resp_17.keys,key_resp_21.keys,key_resp_6.keys,production_block.thisIndex,pretraining_loop.thisTrialN,key_resp_18.rt,suffix1,forced_choice_block.thisN,comp_label1_location,demo_info.thisIndex,alt_image2_location,demo_info.ran,key_resp_10.rt,key_resp_22.keys,test_loop.thisIndex,prod_resp.text,pretraining_loop.thisRepN,key_resp_13.keys,suffix2,training_block.thisTrialN,key_resp_23.keys,alt_image2,key_resp_20.rt,pretraining_loop.thisIndex,comp_image_location,textbox_6.text,production_block.thisTrialN,key_resp_24.keys,key_resp_10.keys,forced_choice_block.thisTrialN,key_resp_16.rt,session,prod_image2_size,forced_choice_block.thisRepN,key_resp_20.keys,stem_filename,comp_image,comp_condition_stem,key_resp_5.keys,prod_image2,key_resp_9.rt,comp_image_size,pretraining_plus_test.order,prod_image1,key_resp_7.keys,key_resp_23.rt,psychopyVersion,comp_label2_location,suffix,key_resp_9.keys,key_resp_11.keys,key_resp_22.rt,test_loop.thisN,comp_condition_suffix,textbox_5.text,key_resp_6.rt,key_resp_16.keys,forced_choice_block.ran,demo_info.thisN,textbox.text,__session,alt_image2_size,stem,pretraining_plus_test.thisRepN,test_loop.thisRepN,alt_image1_size,textbox_10.text,__participant,key_resp_8.rt,frameRate,participant,key_resp_8.keys,pretraining_plus_test.thisN,__datetime,file,experiment_start_resp.keys,training_block.ran,OS,pretraining_plus_test.thisIndex,key_resp_24.rt,textbox_9.text,production_block.thisN,pretraining_loop.order,label,pretraining_plus_test.ran,key_resp_3.keys,key_resp_7.rt,prod_image2_location
﻿,,generalizability,,,n,,,,baldan,,,2023-09-26_11h35.07.023,,generalizability,,,,,,,,,,"['0.35', '0.35']",,,,,,,,,,,,,,stems_all/2_2.PNG,,13,,17,,,0,,,,,,,,,1.6899999999995998,,,,,,,,,,,,,,17,,,,,,,,,,,,001,,,,1,,,,,,,,,,,2022.2.5,,dan,,,,,,,,,,,,001,,bal,,,,,269724,,71.42857142857143,269724,,,2023-09-26_11h34.44.401,2_2.PNG,,1,MacIntel,,,,,,baldan,,,,
﻿,,generalizability,,,n,,,,koradan,,,2023-09-26_11h35.07.023,,generalizability,,,,,,,,,,"['0.35', '0.35']",,,,,,,,,,,,,,stems_all/9_2.PNG,,20,,18,,,0,,,,,,,,,2.055000000000291,,,,,,,,,,,,,,18,,,,,,,,,,,,001,,,,3,,,,,,,,,,,2022.2.5,,dan,,,,,,,,,,,,001,,kora,,,,,269724,,71.42857142857143,269724,,,2023-09-26_11h34.44.401,9_2.PNG,,1,MacIntel,,,,,,koradan,,,,
﻿,,generalizability,,,n,,,,koradan,,,2023-09-26_11h35.07.023,,generalizability,,,,,,,,,,"['0.35', '0.35']",,,,,,,,,,,,,,stems_all/11_2.PNG,,22,,19,,,0,,,,,,,,,4.0340000000001055,,,,,,,,,,,,,,19,,,,,,,,,,,,001,,,,3,,,,,,,,,,,2022.2.5,,dan,,,,,,,,,,,,001,,kora,,,,,269724,,71.42857142857143,269724,,,2023-09-26_11h34.44.401,11_2.PNG,,1,MacIntel,,,,,,koradan,,,,
﻿,,generalizability,,,n,,,,berkodan,,,2023-09-26_11h35.07.023,,generalizability,,,,,,,,,,"['0.35', '0.35']",,,,,,,,,,,,,,stems_all/5_2.PNG,,16,,20,,,0,,,,,,,,,2.056999999999789,,,,,,,,,,,,,,20,,,,,,,,,,,,001,,,,2,,,,,,,,,,,2022.2.5,,dan,,,,,,,,,,,,001,,berko,,,,,269724,,71.42857142857143,269724,,,2023-09-26_11h34.44.401,5_2.PNG,,1,MacIntel,,,,,,berkodan,,,,
﻿,,generalizability,,,n,,,,berkoshoon,,,2023-09-26_11h35.07.023,,generalizability,,,,,,,,,,"['0.20', '0.20']",,,,,,,,,,,,,,stems_all/2_dim_sg.PNG,,28,,21,,,0,,,,,,,,,2.599999999999909,,,,,,,,,,,,,,21,,,,,,,,,,,,001,,,,2,,,,,,,,,,,2022.2.5,,shoon,,,,,,,,,,,,001,,berko,,,,,269724,,71.42857142857143,269724,,,2023-09-26_11h34.44.401,2_dim_sg.PNG,,1,MacIntel,,,,,,berkoshoon,,,,
﻿,,generalizability,,,m,,,,pipanem,,,2023-09-26_11h35.07.023,,generalizability,,,,,,,,,,"['0.20', '0.20']",,,,,,,,,,,,,,stems_all/2_dim_sg.PNG,,4,,22,,,0,,,,,,,,,2.606999999999971,,,,,,,,,,,,,,22,,,,,,,,,,,,001,,,,5,,,,,,,,,,,2022.2.5,,nem,,,,,,,,,,,,001,,pipa,,,,,269724,,71.42857142857143,269724,,,2023-09-26_11h34.44.401,2_dim_sg.PNG,,1,MacIntel,,,,,,pipanem,,,,
﻿,,generalizability,,,m,,,,koranem,,,2023-09-26_11h35.07.023,,generalizability,,,,,,,,,,"['0.20', '0.20']",,,,,,,,,,,,,,stems_all/1_dim_sg.PNG,,2,,23,,,0,,,,,,,,,1.9469999999996617,,,,,,,,,,,,,,23,,,,,,,,,,,,001,,,,3,,,,,,,,,,,2022.2.5,,nem,,,,,,,,,,,,001,,kora,,,,,269724,,71.42857142857143,269724,,,2023-09-26_11h34.44.401,1_dim_sg.PNG,,1,MacIntel,,,,,,koranem,,,,
﻿,,generalizability,,,l,,,,berkosil,,,2023-09-26_11h35.07.023,,generalizability,,,,,,,,,,"['0.35', '0.35']",,,,,,,,,,,,,,stems_all/2_2.PNG,,25,,24,,,0,,,,,,,,,2.306999999999789,,,,,,,,,,,,,,24,,,,,,,,,,,,001,,,,2,,,,,,,,,,,2022.2.5,,sil,,,,,,,,,,,,001,,berko,,,,,269724,,71.42857142857143,269724,,,2023-09-26_11h34.44.401,2_2.PNG,,1,MacIntel,,,,,,berkosil,,,,
﻿,,generalizability,,,m,,,,balnem,,,2023-09-26_11h35.07.023,,generalizability,,,,,,,,,,"['0.20', '0.20']",,,,,,,,,,,,,,stems_all/1_dim_sg.PNG,,0,,25,,,0,,,,,,,,,1.7339999999999236,,,,,,,,,,,,,,25,,,,,,,,,,,,001,,,,1,,,,,,,,,,,2022.2.5,,nem,,,,,,,,,,,,001,,bal,,,,,269724,,71.42857142857143,269724,,,2023-09-26_11h34.44.401,1_dim_sg.PNG,,1,MacIntel,,,,,,balnem,,,,
﻿,,generalizability,,,n,,,,korashoon,,,2023-09-26_11h35.07.023,,generalizability,,,,,,,,,,"['0.20', '0.20']",,,,,,,,,,,,,,stems_all/3_dim_sg.PNG,,29,,26,,,0,,,,,,,,,2.369000000000142,,,,,,,,,,,,,,26,,,,,,,,,,,,001,,,,3,,,,,,,,,,,2022.2.5,,shoon,,,,,,,,,,,,001,,kora,,,,,269724,,71.42857142857143,269724,,,2023-09-26_11h34.44.401,3_dim_sg.PNG,,1,MacIntel,,,,,,korashoon,,,,
