training_block.thisN,key_resp_21.rt,prod_image2_location,key_resp_23.rt,key_resp_19.keys,alt_image2_location,key_resp_4.keys,textbox_5.text,pretraining_plus_test.thisN,session,pretraining_loop.ran,stem,participant,file,key_resp_22.keys,key_resp_9.keys,demo_info.thisTrialN,key_resp_3.rt,key_resp_31.rt,textbox_7.text,alt_image2_size,forced_choice_block.thisN,prod_resp.text,__participant,production_block.thisN,production_block.ran,comp_label2_location,consent_resp_5.keys,key_resp_22.rt,key_resp_31.keys,test_loop.thisRepN,comp_image_location,suffix,prod_label,consent_resp_3.keys,consent_resp_2.rt,consent_resp_6.keys,key_resp_9.rt,image1,production_block.thisTrialN,key_resp_4.rt,pretraining_loop.thisN,key_resp_16.keys,key_resp_10.rt,prod_image2,consent_resp_6.rt,psychopyVersion,training_block.thisTrialN,pretraining_loop.thisIndex,production_block.thisIndex,pretraining_plus_test.ran,test_loop.thisIndex,image_size,key_resp_18.keys,consent_resp_4.rt,key_resp_26.rt,pretraining_loop.thisRepN,label,key_resp_20.rt,filepath,pretraining_plus_test.thisIndex,key_resp_3.keys,key_resp_20.keys,test_loop.thisN,prod_image2_size,key_resp_19.rt,training_block.thisRepN,frameRate,prod_condition,label1,pretraining,image_location,demo_info.ran,key_resp_23.keys,production_block.thisRepN,alt_image2,key_resp_15.keys,key_resp_16.rt,demo_info.thisIndex,key_resp_27.keys,alt_image1_location,comp_label1_location,suffix1,key_resp_21.keys,textbox_10.text,__session,key_resp_17.rt,demo_info.thisRepN,key_resp_13.rt,experiment_start_resp.rt,key_resp_11.rt,pretraining_loop.thisTrialN,alt_image1_size,training_block.thisIndex,key_resp_26.keys,forced_choice_block.thisTrialN,key_resp_28.rt,key_resp_14.keys,key_resp_30.rt,key_resp_29.keys,__datetime,consent_resp_5.rt,comp_condition_suffix,OS,comp_condition_stem,__experimentName,key_resp_13.keys,consent_resp_2.keys,key_resp_15.rt,key_resp_14.rt,key_resp_30.keys,experiment_start_resp.keys,pretraining_plus_test.thisRepN,stem_filename,label2,key_resp_27.rt,training_block.ran,comp_image,date,textbox_6.text,textbox_9.text,key_resp_10.keys,key_resp_29.rt,condition,key_resp_28.keys,test_loop.ran,alt_image1,consent_resp_3.rt,demo_info.thisN,consent_resp.rt,forced_choice_block.ran,forced_choice_block.thisRepN,comp_image_size,consent_resp_4.keys,key_resp_5.keys,pretraining_plus_test.thisTrialN,expName,suffix2,key_resp_5.rt,test_loop.thisTrialN,key_resp_18.rt,consent_resp.keys,forced_choice_block.thisIndex,key_resp_11.keys,key_resp_17.keys,textbox.text,prod_image1
﻿,,"['0.2', '0.22']",,,"['-0.2', '-0.18']",,,,001,,,332893,1_dim_sg.PNG,,,,,,,"['0.35', '0.35']",,"balshoon
",332893,3,1,,,,,,,,bal,,,,,,3,,,,,stems_all/1_dim_sg.PNG,,2022.2.5,,,0,,,,,,,,,,,,,,,"['0.20', '0.20']",,,58.8235294117647,familiar,,,,,,0,stems_all/1_2.PNG,return,,,,"['0.2', '-0.18']",,,,,001,,,,,,,,,,,,,,,2024-03-04_11h11.30.277,,,MacIntel,,generalizability_mini,,,3.6370000000000005,,,,,,,,,,2024-03-04_11h11.45.238,,,,,,,,stems_all/1_dim_pl.PNG,,,,,,,,,,generalizability_mini,,,,,,,,,,stems_all/1.PNG
﻿,,"['0.2', '-0.18']",,,"['-0.2', '-0.18']",,,,001,,,332893,2_dim_pl.PNG,,,,,,,"['0.35', '0.35']",,"berkoshoon
",332893,4,1,,,,,,,,berko,,,,,,4,,,,,stems_all/2_dim_pl.PNG,,2022.2.5,,,3,,,,,,,,,,,,,,,"['0.20', '0.20']",,,58.8235294117647,familiar,,,,,,0,stems_all/2_2.PNG,return,,,,"['0.2', '0.22']",,,,,001,,,,,,,,,,,,,,,2024-03-04_11h11.30.277,,,MacIntel,,generalizability_mini,,,4.0319999999999965,,,,,,,,,,2024-03-04_11h11.45.238,,,,,,,,stems_all/2_dim_sg.PNG,,,,,,,,,,generalizability_mini,,,,,,,,,,stems_all/2.PNG
﻿,,"['0.2', '0.22']",,,"['-0.2', '-0.18']",,,,001,,,332893,15_dim_sg.PNG,,,,,,,"['0.35', '0.35']",,"shindershoon
",332893,5,1,,,,,,,,shinder,,,,,,5,,,,,stems_all/15_dim_sg.PNG,,2022.2.5,,,1,,,,,,,,,,,,,,,"['0.20', '0.20']",,,58.8235294117647,novel,,,,,,0,stems_all/15_2.PNG,return,,,,"['0.2', '-0.18']",,,,,001,,,,,,,,,,,,,,,2024-03-04_11h11.30.277,,,MacIntel,,generalizability_mini,,,2.040999999999997,,,,,,,,,,2024-03-04_11h11.45.238,,,,,,,,stems_all/15_dim_pl.PNG,,,,,,,,,,generalizability_mini,,,,,,,,,,stems_all/15.PNG
﻿,,,,,,,,,001,,,332893,,,,,,,,,,,332893,,,,,,,,,,,,,,,,,,,,,,,2022.2.5,,,,,,,,,,,,,,,,,,,,,58.8235294117647,,,,,,,,,,,,,,,,,,001,5.549000000000007,,,,,,,,,,,,,,2024-03-04_11h11.30.277,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-03-04_11h11.45.238,,,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,return,,
﻿,,,,return,,,,,001,,,332893,,,,,,,,,,,332893,,,,,,,,,,,,,,,,,,,,,,,2022.2.5,,,,,,,,,,,,,,,,,,,0.7869999999999777,,58.8235294117647,,,,,,,,,,,,,,,,,,001,,,,,,,,,,,,,,,2024-03-04_11h11.30.277,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-03-04_11h11.45.238,,,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿,,,,,"['0.2', '0.2']",,,,001,,lucko,332893,,,,,,,,"['0.20', '0.20']",0,,332893,,,right,,,,,"['0.2', '-0.2']",,,,,,,stems_all/17.PNG,,,,left,,,,2022.2.5,,,,,,,,,,,,,,,,,,,,,58.8235294117647,,luckodan,,,,,,stems_all/17_dim_sg.PNG,,4.52000000000001,,,"['-0.2', '-0.2']",left,dan,,,001,,,,,,,"['0.35', '0.35']",,,0,,,,,2024-03-04_11h11.30.277,,dim_pl,MacIntel,novel,generalizability_mini,,,,,,,,,luckonem,,,stems_all/17_dim_pl.PNG,2024-03-04_11h11.45.238,,,,,,,,stems_all/17_2.PNG,,,,1,0,"['0.20', '0.20']",,,,generalizability_mini,nem,,,,,4,,,,
﻿,,,,,"['0.2', '0.2']",,,,001,,berko,332893,,,,,,,,"['0.20', '0.20']",1,,332893,,,right,,,,,"['0.2', '-0.2']",,,,,,,stems_all/2.PNG,,,,right,,,,2022.2.5,,,,,,,,,,,,,,,,,,,,,58.8235294117647,,berkonem,,,,,,stems_all/2_dim_sg.PNG,,0.646000000000015,,,"['-0.2', '-0.2']",left,nem,,,001,,,,,,,"['0.35', '0.35']",,,1,,,,,2024-03-04_11h11.30.277,,dim_pl,MacIntel,familiar,generalizability_mini,,,,,,,,,berkodan,,,stems_all/2_dim_pl.PNG,2024-03-04_11h11.45.238,,,,,,,,stems_all/2_2.PNG,,,,1,0,"['0.20', '0.20']",,,,generalizability_mini,dan,,,,,1,,,,
﻿,,,,,"['0.2', '0.2']",,,,001,,kora,332893,,,,,,,,"['0.20', '0.20']",2,,332893,,,left,,,,,"['0.2', '-0.2']",,,,,,,stems_all/3.PNG,,,,right,,,,2022.2.5,,,,,,,,,,,,,,,,,,,,,58.8235294117647,,koradan,,,,,,stems_all/3_dim_sg.PNG,,0.8019999999999925,,,"['-0.2', '-0.2']",right,dan,,,001,,,,,,,"['0.35', '0.35']",,,2,,,,,2024-03-04_11h11.30.277,,dim_pl,MacIntel,familiar,generalizability_mini,,,,,,,,,koranem,,,stems_all/3_dim_pl.PNG,2024-03-04_11h11.45.238,,,,,,,,stems_all/3_2.PNG,,,,1,0,"['0.20', '0.20']",,,,generalizability_mini,nem,,,,,2,,,,
﻿,,,,,"['0.2', '0.2']",,,,001,,bassi,332893,,,,,,,,"['0.20', '0.20']",3,,332893,,,left,,,,,"['0.2', '-0.2']",,,,,,,stems_all/16.PNG,,,,right,,,,2022.2.5,,,,,,,,,,,,,,,,,,,,,58.8235294117647,,bassinem,,,,,,stems_all/16_dim_sg.PNG,,0.9869999999999948,,,"['-0.2', '-0.2']",right,nem,,,001,,,,,,,"['0.35', '0.35']",,,3,,,,,2024-03-04_11h11.30.277,,dim_pl,MacIntel,novel,generalizability_mini,,,,,,,,,bassidan,,,stems_all/16_dim_pl.PNG,2024-03-04_11h11.45.238,,,,,,,,stems_all/16_2.PNG,,,,1,0,"['0.20', '0.20']",,,,generalizability_mini,dan,,,,,3,,,,
﻿,,,,,"['0.2', '0.2']",,,,001,,bal,332893,,,,,,,,"['0.20', '0.20']",4,,332893,,,right,,,,,"['0.2', '-0.2']",,,,,,,stems_all/1.PNG,,,,left,,,,2022.2.5,,,,,,,,,,,,,,,,,,,,,58.8235294117647,,baldan,,,,,,stems_all/1_dim_sg.PNG,,1.8059999999999832,,,"['-0.2', '-0.2']",left,dan,,,001,,,,,,,"['0.35', '0.35']",,,4,,,,,2024-03-04_11h11.30.277,,dim_pl,MacIntel,familiar,generalizability_mini,,,,,,,,,balnem,,,stems_all/1_dim_pl.PNG,2024-03-04_11h11.45.238,,,,,,,,stems_all/1_2.PNG,,,,1,0,"['0.20', '0.20']",,,,generalizability_mini,nem,,,,,0,,,,
