training_block.thisN,key_resp_21.rt,prod_image2_location,key_resp_23.rt,key_resp_19.keys,alt_image2_location,key_resp_4.keys,textbox_5.text,pretraining_plus_test.thisN,session,pretraining_loop.ran,stem,participant,file,key_resp_22.keys,key_resp_9.keys,demo_info.thisTrialN,key_resp_3.rt,key_resp_31.rt,textbox_7.text,alt_image2_size,forced_choice_block.thisN,prod_resp.text,__participant,production_block.thisN,production_block.ran,comp_label2_location,consent_resp_5.keys,key_resp_22.rt,key_resp_31.keys,test_loop.thisRepN,comp_image_location,suffix,prod_label,consent_resp_3.keys,consent_resp_2.rt,consent_resp_6.keys,key_resp_9.rt,image1,production_block.thisTrialN,key_resp_4.rt,pretraining_loop.thisN,key_resp_16.keys,key_resp_10.rt,prod_image2,consent_resp_6.rt,psychopyVersion,training_block.thisTrialN,pretraining_loop.thisIndex,production_block.thisIndex,pretraining_plus_test.ran,test_loop.thisIndex,image_size,key_resp_18.keys,consent_resp_4.rt,key_resp_26.rt,pretraining_loop.thisRepN,label,key_resp_20.rt,filepath,pretraining_plus_test.thisIndex,key_resp_3.keys,key_resp_20.keys,test_loop.thisN,prod_image2_size,key_resp_19.rt,training_block.thisRepN,frameRate,prod_condition,label1,pretraining,image_location,demo_info.ran,key_resp_23.keys,production_block.thisRepN,alt_image2,key_resp_15.keys,key_resp_16.rt,demo_info.thisIndex,key_resp_27.keys,alt_image1_location,comp_label1_location,suffix1,key_resp_21.keys,textbox_10.text,__session,key_resp_17.rt,demo_info.thisRepN,key_resp_13.rt,experiment_start_resp.rt,key_resp_11.rt,pretraining_loop.thisTrialN,alt_image1_size,training_block.thisIndex,key_resp_26.keys,forced_choice_block.thisTrialN,key_resp_28.rt,key_resp_14.keys,key_resp_30.rt,key_resp_29.keys,__datetime,consent_resp_5.rt,comp_condition_suffix,OS,comp_condition_stem,__experimentName,key_resp_13.keys,consent_resp_2.keys,key_resp_15.rt,key_resp_14.rt,key_resp_30.keys,experiment_start_resp.keys,pretraining_plus_test.thisRepN,stem_filename,label2,key_resp_27.rt,training_block.ran,comp_image,date,textbox_6.text,textbox_9.text,key_resp_10.keys,key_resp_29.rt,condition,key_resp_28.keys,test_loop.ran,alt_image1,consent_resp_3.rt,demo_info.thisN,consent_resp.rt,forced_choice_block.ran,forced_choice_block.thisRepN,comp_image_size,consent_resp_4.keys,key_resp_5.keys,pretraining_plus_test.thisTrialN,expName,suffix2,key_resp_5.rt,test_loop.thisTrialN,key_resp_18.rt,consent_resp.keys,forced_choice_block.thisIndex,key_resp_11.keys,key_resp_17.keys,textbox.text,prod_image1
﻿,,,,,,,,,001,1,osto,59008,,,,,,,,,,,565480,,,,,,,,,,,,,,,,,,47,,,,,2022.2.5,,8,,,,"['0.35', '0.35']",,,,3,osto,"[1.1269999999999527,1.2429999999999382,1.3740000000000236,1.3820000000000618,1.5289999999999964,2.0419999999999163,2.160000000000082,2.224999999999909,2.2940000000000964,2.377999999999929,2.7239999999999327,2.844000000000051,3.0270000000000437,3.2260000000001128,3.2770000000000437,3.4760000000001128]",stems_all/9.PNG,,,"[""o"",""s"",""o"",""t"",""return"",""backspace"",""backspace"",""s"",""t"",""o"",""backspace"",""backspace"",""backspace"",""t"",""o"",""return""]",,,,,166.66666666666666,,,,,,,,,,,,,,,,,,001,,,,,,11,,,,,,,,,2024-04-08_12h55.51.664,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_12h56.11.791,,osto,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿,,,,,,,,,001,1,pipa,59008,,,,,,,,,,,565480,,,,,,,,,,,,,,,,,,48,,,,,2022.2.5,,4,,,,"['0.35', '0.35']",,,,4,pipa,"[0.7290000000000418,0.8579999999999472,0.9600000000000364,1.0449999999998454,1.1459999999999582]",stems_all/5.PNG,,,"[""p"",""i"",""p"",""a"",""return""]",,,,,166.66666666666666,,,,,,,,,,,,,,,,,,001,,,,,,0,,,,,,,,,2024-04-08_12h55.51.664,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_12h56.11.791,,pipa,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿,,,,,,,,,001,1,osto,59008,,,,,,,,,,,565480,,,,,,,,,,,,,,,,,,49,,,,,2022.2.5,,8,,,,"['0.35', '0.35']",,,,4,osto,"[0.8890000000001237,1.0030000000001564,1.1320000000000618,1.147000000000162,1.2830000000001291]",stems_all/9.PNG,,,"[""o"",""s"",""t"",""o"",""return""]",,,,,166.66666666666666,,,,,,,,,,,,,,,,,,001,,,,,,1,,,,,,,,,2024-04-08_12h55.51.664,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_12h56.11.791,,osto,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿,,,,,,,,,001,1,nako,59008,,,,,,,,,,,565480,,,,,,,,,,,,,,,,,,50,,,,,2022.2.5,,3,,,,"['0.35', '0.35']",,,,4,nako,"[0.9890000000000327,1.0640000000000782,1.1310000000000855,1.2999999999999545,1.502999999999929,2.035000000000082,2.16800000000012,2.2889999999999873]",stems_all/4.PNG,,,"[""n"",""a"",""k"",""p"",""return"",""backspace"",""o"",""return""]",,,,,166.66666666666666,,,,,,,,,,,,,,,,,,001,,,,,,2,,,,,,,,,2024-04-08_12h55.51.664,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_12h56.11.791,,nako,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿,,,,,,,,,001,1,bani,59008,,,,,,,,,,,565480,,,,,,,,,,,,,,,,,,51,,,,,2022.2.5,,5,,,,"['0.35', '0.35']",,,,4,bani,"[1.3250000000000455,1.4570000000001073,1.54300000000012,1.6590000000001055,1.706000000000131,1.9239999999999782]",stems_all/6.PNG,,,"[""backspace"",""b"",""a"",""n"",""i"",""return""]",,,,,166.66666666666666,,,,,,,,,,,,,,,,,,001,,,,,,3,,,,,,,,,2024-04-08_12h55.51.664,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_12h56.11.791,,bani,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿,,,,,,,,,001,1,kudom,59008,,,,,,,,,,,565480,,,,,,,,,,,,,,,,,,52,,,,,2022.2.5,,7,,,,"['0.35', '0.35']",,,,4,kudom,"[0.7819999999999254,0.9369999999998981,1.0460000000000491,1.1159999999999854,1.2490000000000236,1.3989999999998872]",stems_all/8.PNG,,,"[""k"",""u"",""d"",""o"",""m"",""return""]",,,,,166.66666666666666,,,,,,,,,,,,,,,,,,001,,,,,,4,,,,,,,,,2024-04-08_12h55.51.664,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_12h56.11.791,,kudom,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿,,,,,,,,,001,1,bal,59008,,,,,,,,,,,565480,,,,,,,,,,,,,,,,,,53,,,,,2022.2.5,,0,,,,"['0.35', '0.35']",,,,4,bal,"[0.7519999999999527,0.8450000000000273,1.01299999999992,1.76299999999992]",stems_all/1.PNG,,,"[""b"",""a"",""l"",""return""]",,,,,166.66666666666666,,,,,,,,,,,,,,,,,,001,,,,,,5,,,,,,,,,2024-04-08_12h55.51.664,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_12h56.11.791,,bal,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿,,,,,,,,,001,1,mero,59008,,,,,,,,,,,565480,,,,,,,,,,,,,,,,,,54,,,,,2022.2.5,,11,,,,"['0.35', '0.35']",,,,4,mero,"[0.6820000000000164,0.7639999999998963,0.81899999999996,0.8699999999998909,1.0329999999999018]",stems_all/12.PNG,,,"[""m"",""e"",""r"",""o"",""return""]",,,,,166.66666666666666,,,,,,,,,,,,,,,,,,001,,,,,,6,,,,,,,,,2024-04-08_12h55.51.664,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_12h56.11.791,,mero,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿,,,,,,,,,001,1,berko,59008,,,,,,,,,,,565480,,,,,,,,,,,,,,,,,,55,,,,,2022.2.5,,1,,,,"['0.35', '0.35']",,,,4,berko,"[0.9670000000000982,1.2039999999999509,1.2799999999999727,1.3630000000000564,1.3820000000000618,1.5650000000000546]",stems_all/2.PNG,,,"[""b"",""e"",""r"",""k"",""o"",""return""]",,,,,166.66666666666666,,,,,,,,,,,,,,,,,,001,,,,,,7,,,,,,,,,2024-04-08_12h55.51.664,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_12h56.11.791,,berko,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿,,,,,,,,,001,1,chool,59008,,,,,,,,,,,565480,,,,,,,,,,,,,,,,,,56,,,,,2022.2.5,,6,,,,"['0.35', '0.35']",,,,4,chool,"[0.8360000000000127,0.9490000000000691,1.081000000000131,1.2160000000001219,1.3820000000000618,1.4830000000001746]",stems_all/7.PNG,,,"[""c"",""h"",""o"",""o"",""l"",""return""]",,,,,166.66666666666666,,,,,,,,,,,,,,,,,,001,,,,,,8,,,,,,,,,2024-04-08_12h55.51.664,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_12h56.11.791,,chool,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿,,,,,,,,,001,1,kora,59008,,,,,,,,,,,565480,,,,,,,,,,,,,,,,,,57,,,,,2022.2.5,,2,,,,"['0.35', '0.35']",,,,4,kora,"[0.900000000000091,0.9850000000001273,1.0140000000001237,1.1200000000003456,1.1639999999999873]",stems_all/3.PNG,,,"[""k"",""o"",""r"",""a"",""return""]",,,,,166.66666666666666,,,,,,,,,,,,,,,,,,001,,,,,,9,,,,,,,,,2024-04-08_12h55.51.664,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_12h56.11.791,,kora,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿,,,,,,,,,001,1,bin,59008,,,,,,,,,,,565480,,,,,,,,,,,,,,,,,,58,,,,,2022.2.5,,10,,,,"['0.35', '0.35']",,,,4,bin,"[0.7539999999999054,0.7980000000000018,0.918999999999869,1.0489999999999782]",stems_all/11.PNG,,,"[""b"",""i"",""n"",""return""]",,,,,166.66666666666666,,,,,,,,,,,,,,,,,,001,,,,,,10,,,,,,,,,2024-04-08_12h55.51.664,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_12h56.11.791,,bin,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿,,,,,,,,,001,1,vorke,59008,,,,,,,,,,,565480,,,,,,,,,,,,,,,,,,59,,,,,2022.2.5,,9,,,,"['0.35', '0.35']",,,,4,vorke,"[0.9529999999999745,1.0149999999998727,1.17899999999986,1.2159999999998945,1.3379999999999654,1.3640000000000327]",stems_all/10.PNG,,,"[""v"",""o"",""r"",""k"",""e"",""return""]",,,,,166.66666666666666,,,,,,,,,,,,,,,,,,001,,,,,,11,,,,,,,,,2024-04-08_12h55.51.664,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_12h56.11.791,,vorke,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿,22.661000000000058,,,,,,,,001,,kudom,59008,,return,,,,,,,,,565480,,,,,1.5329999999999018,,0,,,,,,,,,,,,,,,,2022.2.5,,,,,7,"['0.35', '0.35']",,,,,kudom,,stems_all/8.PNG,,,,0,,,,166.66666666666666,,,,,,,,,,,,,,,,return,"kudom
",001,,,,,,,,,,,,,,,2024-04-08_12h55.51.664,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_12h56.11.791,,,,,,,1,,,,,,,,,,,generalizability_mini,,,0,,,,,,,
﻿,17.302999999999884,,,,,,,,001,,nako,59008,,,,,,,,,,,565480,,,,,,,0,,,,,,,,,,,,,,,,2022.2.5,,,,,3,"['0.35', '0.35']",,,,,nako,,stems_all/4.PNG,,,,1,,,,166.66666666666666,,,,,,,,,,,,,,,,return,nako,001,,,,,,,,,,,,,,,2024-04-08_12h55.51.664,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_12h56.11.791,,,,,,,1,,,,,,,,,,,generalizability_mini,,,1,,,,,,,
﻿,8.214999999999918,,,,,,,,001,,berko,59008,,,,,,,,,,,565480,,,,,,,0,,,,,,,,,,,,,,,,2022.2.5,,,,,1,"['0.35', '0.35']",,,,,berko,,stems_all/2.PNG,,,,2,,,,166.66666666666666,,,,,,,,,,,,,,,,return,berko,001,,,,,,,,,,,,,,,2024-04-08_12h55.51.664,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_12h56.11.791,,,,,,,1,,,,,,,,,,,generalizability_mini,,,2,,,,,,,
﻿,7.607999999999947,,,,,,,,001,,pipa,59008,,,,,,,,,,,565480,,,,,,,0,,,,,,,,,,,,,,,,2022.2.5,,,,,4,"['0.35', '0.35']",,,,,pipa,,stems_all/5.PNG,,,,3,,,,166.66666666666666,,,,,,,,,,,,,,,,return,pipa,001,,,,,,,,,,,,,,,2024-04-08_12h55.51.664,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_12h56.11.791,,,,,,,1,,,,,,,,,,,generalizability_mini,,,3,,,,,,,
﻿,6.848000000000184,,,,,,,,001,,bani,59008,,,,,,,,,,,565480,,,,,,,0,,,,,,,,,,,,,,,,2022.2.5,,,,,5,"['0.35', '0.35']",,,,,bani,,stems_all/6.PNG,,,,4,,,,166.66666666666666,,,,,,,,,,,,,,,,return,bani,001,,,,,,,,,,,,,,,2024-04-08_12h55.51.664,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_12h56.11.791,,,,,,,1,,,,,,,,,,,generalizability_mini,,,4,,,,,,,
﻿,7.567000000000007,,,,,,,,001,,bal,59008,,,,,,,,,,,565480,,,,,,,0,,,,,,,,,,,,,,,,2022.2.5,,,,,0,"['0.35', '0.35']",,,,,bal,,stems_all/1.PNG,,,,5,,,,166.66666666666666,,,,,,,,,,,,,,,,return,bal,001,,,,,,,,,,,,,,,2024-04-08_12h55.51.664,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_12h56.11.791,,,,,,,1,,,,,,,,,,,generalizability_mini,,,5,,,,,,,
﻿,5.878999999999905,,,,,,,,001,,bin,59008,,,,,,,,,,,565480,,,,,,,0,,,,,,,,,,,,,,,,2022.2.5,,,,,10,"['0.35', '0.35']",,,,,bin,,stems_all/11.PNG,,,,6,,,,166.66666666666666,,,,,,,,,,,,,,,,return,bin,001,,,,,,,,,,,,,,,2024-04-08_12h55.51.664,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_12h56.11.791,,,,,,,1,,,,,,,,,,,generalizability_mini,,,6,,,,,,,
﻿,13.284000000000333,,,,,,,,001,,chool,59008,,,,,,,,,,,565480,,,,,,,0,,,,,,,,,,,,,,,,2022.2.5,,,,,6,"['0.35', '0.35']",,,,,chool,,stems_all/7.PNG,,,,7,,,,166.66666666666666,,,,,,,,,,,,,,,,return,chool,001,,,,,,,,,,,,,,,2024-04-08_12h55.51.664,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_12h56.11.791,,,,,,,1,,,,,,,,,,,generalizability_mini,,,7,,,,,,,
﻿,5.864000000000033,,,,,,,,001,,kora,59008,,,,,,,,,,,565480,,,,,,,0,,,,,,,,,,,,,,,,2022.2.5,,,,,2,"['0.35', '0.35']",,,,,kora,,stems_all/3.PNG,,,,8,,,,166.66666666666666,,,,,,,,,,,,,,,,return,kora,001,,,,,,,,,,,,,,,2024-04-08_12h55.51.664,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_12h56.11.791,,,,,,,1,,,,,,,,,,,generalizability_mini,,,8,,,,,,,
﻿,6.34900000000016,,,,,,,,001,,osto,59008,,,,,,,,,,,565480,,,,,,,0,,,,,,,,,,,,,,,,2022.2.5,,,,,8,"['0.35', '0.35']",,,,,osto,,stems_all/9.PNG,,,,9,,,,166.66666666666666,,,,,,,,,,,,,,,,return,osto,001,,,,,,,,,,,,,,,2024-04-08_12h55.51.664,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_12h56.11.791,,,,,,,1,,,,,,,,,,,generalizability_mini,,,9,,,,,,,
﻿,10.432999999999993,,,,,,,,001,,vorke,59008,,,,,,,,,,,565480,,,,,,,0,,,,,,,,,,,,,,,,2022.2.5,,,,,9,"['0.35', '0.35']",,,,,vorke,,stems_all/10.PNG,,,,10,,,,166.66666666666666,,,,,,,,,,,,,,,,return,vorke,001,,,,,,,,,,,,,,,2024-04-08_12h55.51.664,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_12h56.11.791,,,,,,,1,,,,,,,,,,,generalizability_mini,,,10,,,,,,,
﻿,,,,,,,,3,001,,,59008,,,,,,,,,,,565480,,,,,,,,,,,,,,,,,,,,,,,2022.2.5,,,,1,,,,,,,,,,0,,,,,,,166.66666666666666,,,,,,,,,,,,,,,,,,001,,,,,,,,,,,,,,,2024-04-08_12h55.51.664,,,MacIntel,,generalizability_mini,,,,,,,3,,,,,,2024-04-08_12h56.11.791,,,,,,,,,,,,,,,,,0,generalizability_mini,,,,,,,,,,
﻿,,,,,,,,,001,,,59008,,,,,,,,,,,565480,,,,,,,,,,,,,,,,,,,,,,,2022.2.5,,,,,,,,,2.0779999999999745,,,,,,,,,,,,166.66666666666666,,,,,,,,,,,,,,,,,,001,,,,,,,,,return,,,,,,2024-04-08_12h55.51.664,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-04-08_12h56.11.791,,,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿0,,,,,,,,,001,,berko,59008,2_dim_sg.PNG,,,,,,berkonem,,,,565480,,,,,,,,,nem,,,,,,,,,,,,,,2022.2.5,0,,,,,"['0.20', '0.20']","[""b"",""e"",""r"",""o"",""n"",""e"",""m"",""return"",""backspace"",""backspace"",""backspace"",""backspace"",""k"",""o"",""n"",""e"",""m"",""return""]",,,,berkonem,,stems_all/2_dim_sg.PNG,,,,,,,0,166.66666666666666,,,,,,,,,,,,,,,,,,001,,,,,,,,19,,,,,,,2024-04-08_12h55.51.664,,,MacIntel,,generalizability_mini,,,,,,,,2,,,1,,2024-04-08_12h56.11.791,,,,,,,,,,,,,,,,,,generalizability_mini,,,,"[2.7819999999999254,2.911000000000058,2.9960000000000946,3.6140000000000327,3.798999999999978,3.9320000000000164,4.010999999999967,4.18100000000004,5.578999999999951,5.76299999999992,5.962999999999965,7.061999999999898,7.58199999999988,7.666999999999916,7.8689999999999145,7.9659999999998945,8.065000000000055,8.810999999999922]",,,,,,
﻿1,,,,,,,,,001,,berko,59008,2_2.PNG,,,,,,berkosil,,,,565480,,,,,,,,,sil,,,,,,,,,,,,,,2022.2.5,1,,,,,"['0.35', '0.35']","[""b"",""e"",""r"",""k"",""o"",""s"",""i"",""l"",""return""]",,,,berkosil,,stems_all/2_2.PNG,,,,,,,0,166.66666666666666,,,,,,,,,,,,,,,,,,001,,,,,,,,31,,,,,,,2024-04-08_12h55.51.664,,,MacIntel,,generalizability_mini,,,,,,,,2,,,1,,2024-04-08_12h56.11.791,,,,,,,,,,,,,,,,,,generalizability_mini,,,,"[3.0709999999999127,3.1929999999999836,3.280999999999949,3.7889999999999873,3.9069999999999254,4.088999999999942,4.207000000000107,4.343000000000075,13.374000000000024]",,,,,,
﻿2,,,,,,,,,001,,bal,59008,1_dim_sg.PNG,,,,,,balnem,,,,565480,,,,,,,,,nem,,,,,,,,,,,,,,2022.2.5,2,,,,,"['0.20', '0.20']","[""b"",""a"",""l"",""n"",""e"",""m"",""backspace"",""m"",""return""]",,,,balnem,,stems_all/1_dim_sg.PNG,,,,,,,0,166.66666666666666,,,,,,,,,,,,,,,,,,001,,,,,,,,14,,,,,,,2024-04-08_12h55.51.664,,,MacIntel,,generalizability_mini,,,,,,,,1,,,1,,2024-04-08_12h56.11.791,,,,,,,,,,,,,,,,,,generalizability_mini,,,,"[2.5,2.605000000000018,2.701000000000022,2.8710000000000946,2.933999999999969,3.0510000000001583,6.902000000000044,7.150000000000091,7.498000000000047]",,,,,,
﻿3,,,,,,,,,001,,bal,59008,1_dim_sg.PNG,,,,,,balnem,,,,565480,,,,,,,,,nem,,,,,,,,,,,,,,2022.2.5,3,,,,,"['0.20', '0.20']","[""b"",""a"",""l"",""n"",""e"",""m"",""return""]",,,,balnem,,stems_all/1_dim_sg.PNG,,,,,,,0,166.66666666666666,,,,,,,,,,,,,,,,,,001,,,,,,,,15,,,,,,,2024-04-08_12h55.51.664,,,MacIntel,,generalizability_mini,,,,,,,,1,,,1,,2024-04-08_12h56.11.791,,,,,,,,,,,,,,,,,,generalizability_mini,,,,"[2.2079999999998563,2.606999999999971,2.882999999999811,3.1519999999998163,3.433999999999969,3.783999999999878,3.967999999999847]",,,,,,
﻿4,,,,,,,,,001,,bal,59008,1_dim_sg.PNG,,,,,,balnem,,,,565480,,,,,,,,,nem,,,,,,,,,,,,,,2022.2.5,4,,,,,"['0.20', '0.20']","[""b"",""a"",""l"",""n"",""e"",""m"",""return""]",,,,balnem,,stems_all/1_dim_sg.PNG,,,,,,,0,166.66666666666666,,,,,,,,,,,,,,,,,,001,,,,,,,,12,,,,,,,2024-04-08_12h55.51.664,,,MacIntel,,generalizability_mini,,,,,,,,1,,,1,,2024-04-08_12h56.11.791,,,,,,,,,,,,,,,,,,generalizability_mini,,,,"[1.2189999999998236,1.4399999999998272,1.5219999999999345,1.65099999999984,1.7189999999998236,1.8179999999999836,1.9359999999999218]",,,,,,
﻿5,,,,,,,,,001,,chool,59008,7_2.PNG,,,,,,chooldan,,,,565480,,,,,,,,,dan,,,,,,,,,,,,,,2022.2.5,5,,,,,"['0.35', '0.35']","[""c"",""h"",""o"",""o"",""l"",""d"",""a"",""n"",""return""]",,,,chooldan,,stems_all/7_2.PNG,,,,,,,0,166.66666666666666,,,,,,,,,,,,,,,,,,001,,,,,,,,6,,,,,,,2024-04-08_12h55.51.664,,,MacIntel,,generalizability_mini,,,,,,,,7,,,1,,2024-04-08_12h56.11.791,,,,,,,,,,,,,,,,,,generalizability_mini,,,,"[1.997000000000071,2.064000000000078,2.2170000000000982,2.387000000000171,2.719000000000051,2.8290000000001783,2.9010000000000673,2.9820000000001983,5.401000000000067]",,,,,,
﻿6,,,,,,,,,001,,osto,59008,9_2.PNG,,,,,,ostodan,,,,565480,,,,,,,,,dan,,,,,,,,,,,,,,2022.2.5,6,,,,,"['0.35', '0.35']","[""o"",""s"",""t"",""o"",""d"",""a"",""n"",""return""]",,,,ostodan,,stems_all/9_2.PNG,,,,,,,0,166.66666666666666,,,,,,,,,,,,,,,,,,001,,,,,,,,8,,,,,,,2024-04-08_12h55.51.664,,,MacIntel,,generalizability_mini,,,,,,,,9,,,1,,2024-04-08_12h56.11.791,,,,,,,,,,,,,,,,,,generalizability_mini,,,,"[1.6829999999999927,1.8299999999999272,1.9849999999999,2.078999999999951,2.26299999999992,2.6790000000000873,2.798999999999978,5.1599999999998545]",,,,,,
﻿7,,,,,,,,,001,,berko,59008,2_dim_sg.PNG,,,,,,berkonem,,,,565480,,,,,,,,,nem,,,,,,,,,,,,,,2022.2.5,7,,,,,"['0.20', '0.20']","[""b"",""e"",""r"",""k"",""o"",""n"",""e"",""m"",""return""]",,,,berkonem,,stems_all/2_dim_sg.PNG,,,,,,,0,166.66666666666666,,,,,,,,,,,,,,,,,,001,,,,,,,,16,,,,,,,2024-04-08_12h55.51.664,,,MacIntel,,generalizability_mini,,,,,,,,2,,,1,,2024-04-08_12h56.11.791,,,,,,,,,,,,,,,,,,generalizability_mini,,,,"[1.2690000000000055,1.4170000000001437,1.4650000000001455,1.58400000000006,1.6320000000000618,2.2000000000000455,2.3479999999999563,2.405999999999949,4.850000000000136]",,,,,,
﻿8,,,,,,,,,001,,bal,59008,1_2.PNG,,,,,,balsil,,,,565480,,,,,,,,,sil,,,,,,,,,,,,,,2022.2.5,8,,,,,"['0.35', '0.35']","[""b"",""a"",""l"",""s"",""i"",""l"",""return""]",,,,balsil,,stems_all/1_2.PNG,,,,,,,0,166.66666666666666,,,,,,,,,,,,,,,,,,001,,,,,,,,24,,,,,,,2024-04-08_12h55.51.664,,,MacIntel,,generalizability_mini,,,,,,,,1,,,1,,2024-04-08_12h56.11.791,,,,,,,,,,,,,,,,,,generalizability_mini,,,,"[2.133000000000038,2.4300000000000637,2.933999999999969,3.34699999999998,3.630000000000109,3.8179999999999836,5.315000000000055]",,,,,,
﻿9,,,,,,,,,001,,berko,59008,2_2.PNG,,,,,,berkosil,,,,565480,,,,,,,,,sil,,,,,,,,,,,,,,2022.2.5,9,,,,,"['0.35', '0.35']","[""b"",""e"",""r"",""k"",""o"",""s"",""u"",""bracketright"",""i"",""backspace"",""backspace"",""backspace"",""i"",""l"",""return""]",,,,berkosil,,stems_all/2_2.PNG,,,,,,,0,166.66666666666666,,,,,,,,,,,,,,,,,,001,,,,,,,,25,,,,,,,2024-04-08_12h55.51.664,,,MacIntel,,generalizability_mini,,,,,,,,2,,,1,,2024-04-08_12h56.11.791,,,,,,,,,,,,,,,,,,generalizability_mini,,,,"[2.168999999999869,2.4329999999999927,2.7159999999998945,3.0299999999999727,3.15099999999984,3.5799999999999272,3.9149999999999636,4.326000000000022,4.5349999999998545,4.830999999999904,4.982999999999947,5.1039999999998145,5.320999999999913,5.913999999999987,6.238999999999805]",,,,,,
﻿10,,,,,,,,,001,,kora,59008,3_dim_sg.PNG,,,,,,koranem,,,,565480,,,,,,,,,nem,,,,,,,,,,,,,,2022.2.5,10,,,,,"['0.20', '0.20']","[""k"",""o"",""r"",""a"",""n"",""e"",""m"",""return""]",,,,koranem,,stems_all/3_dim_sg.PNG,,,,,,,0,166.66666666666666,,,,,,,,,,,,,,,,,,001,,,,,,,,23,,,,,,,2024-04-08_12h55.51.664,,,MacIntel,,generalizability_mini,,,,,,,,3,,,1,,2024-04-08_12h56.11.791,,,,,,,,,,,,,,,,,,generalizability_mini,,,,"[1.4300000000000637,1.5499999999999545,2.2309999999999945,2.4650000000001455,3.066000000000031,3.2819999999999254,3.5170000000000528,4.233999999999924]",,,,,,
﻿11,,,,,,,,,001,,berko,59008,2_dim_sg.PNG,,,,,,berkonem,,,,565480,,,,,,,,,nem,,,,,,,,,,,,,,2022.2.5,11,,,,,"['0.20', '0.20']","[""b"",""e"",""r"",""k"",""o"",""n"",""e"",""m"",""return""]",,,,berkonem,,stems_all/2_dim_sg.PNG,,,,,,,0,166.66666666666666,,,,,,,,,,,,,,,,,,001,,,,,,,,18,,,,,,,2024-04-08_12h55.51.664,,,MacIntel,,generalizability_mini,,,,,,,,2,,,1,,2024-04-08_12h56.11.791,,,,,,,,,,,,,,,,,,generalizability_mini,,,,"[1.4290000000000873,1.6890000000000782,1.8489999999999327,2.2000000000000455,2.451000000000022,3.0470000000000255,3.3869999999999436,3.6539999999999964,4.5150000000001]",,,,,,
