source,participant,subj_values,Model,Meaning,Frequency,Task,Condition
novel_meaning_freq_prod_data_cond3_subj_means_no_sil_shoon,427171,1,novel_meaning_freq_prod_model_cond3,novel,freq,prod,cond3
novel_meaning_freq_prod_data_cond3_subj_means_no_sil_shoon,430083,1,novel_meaning_freq_prod_model_cond3,novel,freq,prod,cond3
novel_meaning_freq_prod_data_cond3_subj_means_no_sil_shoon,480171,1,novel_meaning_freq_prod_model_cond3,novel,freq,prod,cond3
novel_meaning_freq_prod_data_cond3_subj_means_no_sil_shoon,530171,0,novel_meaning_freq_prod_model_cond3,novel,freq,prod,cond3
novel_meaning_freq_prod_data_cond3_subj_means_no_sil_shoon,537070,0.6111111111111112,novel_meaning_freq_prod_model_cond3,novel,freq,prod,cond3
novel_meaning_freq_prod_data_cond3_subj_means_no_sil_shoon,567835,0,novel_meaning_freq_prod_model_cond3,novel,freq,prod,cond3
novel_meaning_freq_prod_data_cond3_subj_means_no_sil_shoon,610842,0.7272727272727273,novel_meaning_freq_prod_model_cond3,novel,freq,prod,cond3
novel_meaning_freq_prod_data_cond3_subj_means_no_sil_shoon,649153,0,novel_meaning_freq_prod_model_cond3,novel,freq,prod,cond3
novel_meaning_freq_prod_data_cond3_subj_means_no_sil_shoon,692032,0.29411764705882354,novel_meaning_freq_prod_model_cond3,novel,freq,prod,cond3
novel_meaning_freq_prod_data_cond3_subj_means_no_sil_shoon,706413,1,novel_meaning_freq_prod_model_cond3,novel,freq,prod,cond3
novel_meaning_freq_prod_data_cond3_subj_means_no_sil_shoon,722527,0,novel_meaning_freq_prod_model_cond3,novel,freq,prod,cond3
novel_meaning_freq_prod_data_cond3_subj_means_no_sil_shoon,791629,1,novel_meaning_freq_prod_model_cond3,novel,freq,prod,cond3
novel_meaning_freq_prod_data_cond3_subj_means_no_sil_shoon,808694,0.13636363636363635,novel_meaning_freq_prod_model_cond3,novel,freq,prod,cond3
novel_meaning_freq_prod_data_cond3_subj_means_no_sil_shoon,814040,1,novel_meaning_freq_prod_model_cond3,novel,freq,prod,cond3
novel_meaning_freq_prod_data_cond3_subj_means_no_sil_shoon,822636,1,novel_meaning_freq_prod_model_cond3,novel,freq,prod,cond3
novel_meaning_freq_prod_data_cond3_subj_means_no_sil_shoon,828936,0.7142857142857143,novel_meaning_freq_prod_model_cond3,novel,freq,prod,cond3
novel_meaning_freq_prod_data_cond3_subj_means_no_sil_shoon,833721,0,novel_meaning_freq_prod_model_cond3,novel,freq,prod,cond3
novel_meaning_freq_prod_data_cond3_subj_means_no_sil_shoon,904940,1,novel_meaning_freq_prod_model_cond3,novel,freq,prod,cond3
novel_meaning_freq_prod_data_cond3_subj_means_no_sil_shoon,979237,0.8421052631578947,novel_meaning_freq_prod_model_cond3,novel,freq,prod,cond3
novel_meaning_freq_prod_data_cond3_subj_means_no_sil_shoon,980703,1,novel_meaning_freq_prod_model_cond3,novel,freq,prod,cond3
novel_meaning_freq_prod_data_cond3_subj_means_no_sil_shoon,983166,0.9090909090909091,novel_meaning_freq_prod_model_cond3,novel,freq,prod,cond3
